Source Field,Target Entity,RDF Property,Node Structure,Vocabulary / Namespace,Value Type (Literal/URI),Datatype / Language Tag,Cardinality,Transformation Notes,External Linking Strategy,Example Value
Book ID,Work,schema:name,schema:name → _:b (schema:Book) → bf:title,schema,URI,,1,—,—,Indexed range: Books001–050. Typed as rdf:type schema:Book
Original Title,Item,schema:name,_:b (schema:Book) → bf:title,schema,Literal,Text,1,—,—,"""Growing Papaya Trees: Nurturing Indigenous Roots During Climate Displacement"""
Original Title VIAF URI,Item,schema:name,_:b (schema:Book) → bf:title,schema,URI,,0..n,URI linking to the original title record in VIAF,VIAF,https://viaf.org/en/viaf/8906159764120108170001
Original Title Wikidata URI,Item,schema:name,_:b (schema:Book) → bf:title,schema,URI,,0..1,URI linking to the original title record in Wikidata,Wikidata,https://www.wikidata.org/wiki/Q121275825
Instance of Work,Instance,schema:name,bf:instance → _:b (bf:Instance) → schema:name,schema,URI,,1,—,—,"""Ideas to postpone the end of the world"""
Instance of Work Wikidata URI,Item,schema:sameAs,bf:instance → _:b (bf:Instance) → schema:sameAs,schema,URI,,0..1,URI linking to the original title record in Wikidata,Wikidata,https://www.wikidata.org/wiki/Q117382781
Author,Person,schema:author,schema:author → _:b (foaf:Person) → foaf:name,schema,Literal,Text,1..n,Normalize to 'First Last' format. Normalize to include middle initial if it is listed.Normalize to VIAF URI format. Example: https://viaf.org/viaf/12345678. Normalize to Wikidata URI format. Example: ,—,"""Lina Sunseri"""
Author VIAF URI,Person,schema:sameAs,_:b (foaf:Person) → schema:sameAs,schema,URI,,0..n,URI linking to the original title record in VIAF,VIAF,https://viaf.org/en/viaf/90599516 of Rigoberta Menchú Tum
Author Wikidata URI,Person,schema:sameAs,_:b (foaf:Person) → schema:sameAs,schema,URI,,0..n,URI linking to the original title record in Wikidata,Wikidata,https://www.wikidata.org/wiki/Q3296164 Mary Brave Bird (Mary Crow Dog)
Background of Indigenous Author,Concept,schema:description,_:b (foaf:Person) → schema:description,schema,Literal,Text,1..n,"Brief terms found in author bios used to describe indigeneity, which was used to build onto the follow options in Wikidata; First Nation band, Indigenous Group, Ethnic Group",—,"""Skwxwú7mesh"""
